real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
16384,3.274228992513923e-08,0.00013096915970055694,6812.059273900441,8.0108642578125e-12,0.6000000000000001,33,2103-02
16385,3.2742289295633536e-08,0.00013096915718253415,6812.059142931284,8.0108642578125e-12,0.6000000000000001,33,2103-02
16386,3.274228866612785e-08,0.00013096915466451138,6812.05901196213,8.0108642578125e-12,0.6000000000000001,33,2103-02
16387,3.274228803662218e-08,0.00013096915214648873,6812.058880992978,8.0108642578125e-12,0.6000000000000001,33,2103-02
16388,3.274228740711652e-08,0.00013096914962846607,6812.058750023828,8.0108642578125e-12,0.6000000000000001,33,2103-02
16389,3.274228677761087e-08,0.00013096914711044347,6812.058619054681,8.0108642578125e-12,0.6000000000000001,33,2103-02
16390,3.2742286148105234e-08,0.00013096914459242095,6812.058488085537,8.0108642578125e-12,0.6000000000000001,33,2103-02
16391,3.274228551859961e-08,0.00013096914207439846,6812.058357116394,8.0108642578125e-12,0.6000000000000001,33,2103-02
16392,3.2742284889094004e-08,0.00013096913955637602,6812.058226147255,8.0108642578125e-12,0.6000000000000001,33,2103-02
16393,3.27422842595884e-08,0.0001309691370383536,6812.058095178118,8.0108642578125e-12,0.6000000000000001,33,2103-02
16394,3.274228363008281e-08,0.00013096913452033125,6812.057964208983,8.0108642578125e-12,0.6000000000000001,33,2103-02
16395,3.274228300057724e-08,0.00013096913200230894,6812.057833239851,8.0108642578125e-12,0.6000000000000001,33,2103-02
16396,3.2742282371071675e-08,0.0001309691294842867,6812.057702270721,8.0108642578125e-12,0.6000000000000001,33,2103-02
16397,3.274228174156612e-08,0.00013096912696626447,6812.057571301594,8.0108642578125e-12,0.6000000000000001,33,2103-02
16398,3.274228111206058e-08,0.00013096912444824233,6812.05744033247,8.0108642578125e-12,0.6000000000000001,33,2103-02
16399,3.2742280482555053e-08,0.00013096912193022022,6812.057309363348,8.0108642578125e-12,0.6000000000000001,33,2103-02
16400,3.2742279853049544e-08,0.0001309691194121982,6812.057178394229,8.0108642578125e-12,0.6000000000000001,33,2103-02
16401,3.274227922354404e-08,0.00013096911689417615,6812.057047425112,8.0108642578125e-12,0.6000000000000001,33,2103-02
16402,3.2742278594038545e-08,0.00013096911437615418,6812.056916455997,8.0108642578125e-12,0.6000000000000001,33,2103-02
16403,3.2742277964533075e-08,0.0001309691118581323,6812.056785486886,8.0108642578125e-12,0.6000000000000001,33,2103-02
16404,3.2742277335027605e-08,0.0001309691093401104,6812.056654517776,8.0108642578125e-12,0.6000000000000001,33,2103-02
16405,3.274227670552215e-08,0.0001309691068220886,6812.056523548669,8.0108642578125e-12,0.6000000000000001,33,2103-02
16406,3.2742276076016705e-08,0.00013096910430406683,6812.056392579565,8.0108642578125e-12,0.6000000000000001,33,2103-02
