real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
2000,2.220674741233191e-05,0.08882698964932764,2772078.7652960275,8.0108642578125e-12,1.0,1,2102-07
2001,2.2206746700750954e-06,0.008882698680300382,2772078.756413329,8.0108642578125e-12,0.1,2,2102-08
2002,2.220674662959286e-06,0.008882698651837145,2772078.7475306303,8.0108642578125e-12,0.1,2,2102-08
2003,2.2206746558434765e-06,0.008882698623373906,2772078.7386479317,8.0108642578125e-12,0.1,1,2102-09
2004,2.2206746487276675e-06,0.00888269859491067,2772078.729765233,8.0108642578125e-12,0.1,2,2102-10
2005,2.220674641611858e-06,0.008882698566447432,2772078.7208825345,8.0108642578125e-12,0.1,2,2102-10
2006,2.220674634496049e-06,0.008882698537984197,2772078.711999836,8.0108642578125e-12,0.1,1,2102-11
2007,1.3324047764281437e-05,0.05329619105712575,2772078.6587036448,8.0108642578125e-12,0.6,1,2102-12
2008,2.2206745846853842e-06,0.008882698338741536,2772078.6498209466,8.0108642578125e-12,0.1,2,2103-01
2009,2.220674577569575e-06,0.008882698310278301,2772078.6409382485,8.0108642578125e-12,0.1,2,2103-01
2010,2.2206745704537666e-06,0.008882698281815066,2772078.6320555503,8.0108642578125e-12,0.1,3,2103-02
2011,2.2206745633379576e-06,0.00888269825335183,2772078.623172852,8.0108642578125e-12,0.1,3,2103-02
2012,2.2206745562221486e-06,0.008882698224888593,2772078.614290154,8.0108642578125e-12,0.1,3,2103-02
2013,2.2206745491063396e-06,0.008882698196425358,2772078.605407456,8.0108642578125e-12,0.1,2,2103-03
2014,2.2206745419905305e-06,0.008882698167962123,2772078.596524758,8.0108642578125e-12,0.1,2,2103-03
2015,9.622922984457127e-06,0.03849169193782851,2772078.558033066,8.0108642578125e-12,0.43333333333333335,2,2103-04
2016,9.622922850838049e-06,0.03849169140335219,2772078.5195413744,8.0108642578125e-12,0.43333333333333335,2,2103-04
2017,2.0726295083240867e-05,0.08290518033296347,2772078.436636194,8.0108642578125e-12,0.9333333333333333,1,2103-05
2018,2.0726294463374865e-05,0.08290517785349946,2772078.353731016,8.0108642578125e-12,0.9333333333333333,2,2103-06
2019,2.0726293843508876e-05,0.08290517537403551,2772078.270825841,8.0108642578125e-12,0.9333333333333333,2,2103-06
2020,2.072629322364291e-05,0.08290517289457165,2772078.187920668,8.0108642578125e-12,0.9333333333333333,1,2103-07
2021,2.220674207547532e-05,0.08882696830190129,2772078.0990937,8.0108642578125e-12,1.0,1,2103-08
2022,2.2206741363894537e-05,0.08882696545557815,2772078.0102667343,8.0108642578125e-12,1.0,1,2103-09
2023,2.2206740652313772e-05,0.08882696260925509,2772077.9214397715,8.0108642578125e-12,1.0,1,2103-10
2024,2.220673994073303e-05,0.08882695976293213,2772077.8326128116,8.0108642578125e-12,1.0,1,2103-11
2025,2.220673922915231e-05,0.08882695691660925,2772077.743785855,8.0108642578125e-12,1.0,1,2103-12
2026,1.110336925878581e-06,0.004441347703514324,2772077.739344507,4.00543212890625e-12,0.1,2,2104-01
2027,1.1103369240996294e-06,0.004441347696398518,2772077.734903159,4.00543212890625e-12,0.1,2,2104-01
2028,1.1103369223206774e-06,0.00444134768928271,2772077.730461811,4.00543212890625e-12,0.1,3,2104-02
2029,1.1103369205417257e-06,0.004441347682166903,2772077.7260204633,4.00543212890625e-12,0.1,3,2104-02
2030,1.110336918762774e-06,0.004441347675051096,2772077.7215791154,4.00543212890625e-12,0.1,3,2104-02
2031,6.662021501902933e-06,0.026648086007611732,2772077.6949310293,4.00543212890625e-12,0.6,1,2104-03
2032,1.1103369063101122e-05,0.04441347625240449,2772077.650517553,4.00543212890625e-12,1.0,1,2104-04
2033,1.1103368885205958e-05,0.04441347554082383,2772077.606104078,4.00543212890625e-12,1.0,1,2104-05
2034,1.1103368707310797e-05,0.04441347482924319,2772077.561690603,4.00543212890625e-12,1.0,1,2104-06
2035,1.1103368529415638e-06,0.004441347411766255,2772077.5572492555,4.00543212890625e-12,0.1,2,2104-07
2036,1.1103368511626123e-06,0.0044413474046504494,2772077.552807908,4.00543212890625e-12,0.1,2,2104-07
2037,1.1103368493836605e-06,0.004441347397534642,2772077.5483665606,4.00543212890625e-12,0.1,1,2104-08
2038,6.6620210856282546e-06,0.026648084342513017,2772077.5217184764,4.00543212890625e-12,0.6,1,2104-09
2039,6.662021021585998e-06,0.026648084086343993,2772077.4950703923,4.00543212890625e-12,0.6,1,2104-10
2040,6.662020957543743e-06,0.026648083830174973,2772077.4684223086,4.00543212890625e-12,0.6,1,2104-11
2041,6.662020893501489e-06,0.026648083574005953,2772077.441774225,4.00543212890625e-12,0.6,1,2104-12
2042,6.662020829459234e-06,0.026648083317836937,2772077.4151261416,4.00543212890625e-12,0.6,1,2105-01
2043,6.6620207654169805e-06,0.026648083061667924,2772077.3884780584,4.00543212890625e-12,0.6,1,2105-02
2044,6.662020701374728e-06,0.02664808280549891,2772077.3618299756,4.00543212890625e-12,0.6,1,2105-03
2045,6.662020637332476e-06,0.026648082549329905,2772077.335181893,4.00543212890625e-12,0.6,1,2105-04
2046,1.1103367622150372e-06,0.004441347048860149,2772077.330740546,4.00543212890625e-12,0.1,2,2105-05
2047,1.110336760436086e-06,0.004441347041744344,2772077.326299199,4.00543212890625e-12,0.1,2,2105-05
2048,1.1103367586571346e-06,0.004441347034628539,2772077.321857852,4.00543212890625e-12,0.1,3,2105-06
2049,1.1103367568781831e-06,0.0044413470275127325,2772077.317416505,4.00543212890625e-12,0.1,3,2105-06
2050,1.1103367550992318e-06,0.004441347020396927,2772077.312975158,4.00543212890625e-12,0.1,3,2105-06
2051,1.1103367533202803e-06,0.004441347013281121,2772077.308533811,4.00543212890625e-12,0.1,4,2105-07
2052,1.110336751541329e-06,0.004441347006165316,2772077.304092464,4.00543212890625e-12,0.1,4,2105-07
2053,1.1103367497623775e-06,0.00444134699904951,2772077.299651117,4.00543212890625e-12,0.1,4,2105-07
2054,1.1103367479834262e-06,0.004441346991933705,2772077.29520977,4.00543212890625e-12,0.1,4,2105-07
2055,1.1103367462044747e-06,0.004441346984817899,2772077.290768423,4.00543212890625e-12,0.1,3,2105-08
2056,1.1103367444255234e-06,0.004441346977702093,2772077.286327076,4.00543212890625e-12,0.1,3,2105-08
2057,1.110336742646572e-06,0.004441346970586288,2772077.281885729,4.00543212890625e-12,0.1,3,2105-08
2058,3.886178593036672e-06,0.01554471437214669,2772077.2663410148,4.00543212890625e-12,0.35,3,2105-09
2059,3.886178571244517e-06,0.015544714284978067,2772077.2507963004,4.00543212890625e-12,0.35,3,2105-09
2060,3.886178549452363e-06,0.015544714197809452,2772077.235251586,4.00543212890625e-12,0.35,3,2105-09
2061,1.110336722188631e-06,0.0044413468887545245,2772077.230810239,4.00543212890625e-12,0.1,4,2105-10
2062,1.1103367204096795e-06,0.004441346881638718,2772077.226368892,4.00543212890625e-12,0.1,4,2105-10
