real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
7632,3.038188460321803e-06,0.012152753841287212,189156.13373504594,6.40869140625e-11,0.25062529060207095,18,2089-03
7633,3.0381882651266836e-06,0.012152753060506734,189156.12158229286,6.40869140625e-11,0.25062529060207095,18,2089-03
7634,3.0381880699315764e-06,0.012152752279726306,189156.10942954058,6.40869140625e-11,0.25062529060207095,18,2089-03
7635,1.2122431329407813e-06,0.004848972531763125,189156.10458056803,6.40869140625e-11,0.1,20,2089-04
7636,1.2122431018652126e-06,0.004848972407460851,189156.09973159563,6.40869140625e-11,0.1,20,2089-04
7637,1.2122430707896447e-06,0.004848972283158579,189156.09488262335,6.40869140625e-11,0.1,20,2089-04
7638,1.2122430397140778e-06,0.004848972158856311,189156.09003365118,6.40869140625e-11,0.1,20,2089-04
7639,1.2122430086385116e-06,0.004848972034554046,189156.08518467916,6.40869140625e-11,0.1,20,2089-04
7640,1.212242977562946e-06,0.004848971910251784,189156.08033570726,6.40869140625e-11,0.1,20,2089-04
7641,1.2122429464873816e-06,0.0048489717859495265,189156.07548673547,6.40869140625e-11,0.1,20,2089-04
7642,1.2122429154118178e-06,0.004848971661647271,189156.0706377638,6.40869140625e-11,0.1,20,2089-04
7643,1.2122428843362549e-06,0.00484897153734502,189156.06578879227,6.40869140625e-11,0.1,20,2089-04
7644,1.2122428532606925e-06,0.00484897141304277,189156.06093982086,6.40869140625e-11,0.1,20,2089-04
7645,1.2122428221851313e-06,0.004848971288740525,189156.05609084957,6.40869140625e-11,0.1,20,2089-04
7646,1.2122427911095704e-06,0.004848971164438281,189156.0512418784,6.40869140625e-11,0.1,20,2089-04
7647,1.2122427600340106e-06,0.004848971040136043,189156.04639290736,6.40869140625e-11,0.1,20,2089-04
7648,1.2122427289584517e-06,0.0048489709158338066,189156.04154393644,6.40869140625e-11,0.1,20,2089-04
7649,1.2122426978828934e-06,0.004848970791531573,189156.03669496565,6.40869140625e-11,0.1,20,2089-04
7650,1.2122426668073359e-06,0.004848970667229343,189156.031845995,6.40869140625e-11,0.1,20,2089-04
7651,1.2122426357317795e-06,0.0048489705429271175,189156.02699702446,6.40869140625e-11,0.1,20,2089-04
7652,1.2122426046562235e-06,0.004848970418624894,189156.02214805403,6.40869140625e-11,0.1,20,2089-04
7653,1.2122425735806684e-06,0.004848970294322673,189156.01729908373,6.40869140625e-11,0.1,20,2089-04
7654,1.212242542505114e-06,0.004848970170020456,189156.01245011357,6.40869140625e-11,0.1,20,2089-04
7655,1.2122425114295609e-06,0.004848970045718244,189156.00760114353,6.40869140625e-11,0.1,18,2089-05
